//HSK 1 Study
爱	ai4	n. love
颜色	yan2se4	n. color
左边	zuo3bian1	n. left side
红色	hong2se4	n. red
红	hong2	adj. red
后边	hou4bian1	n. back
中间	zhong1jian1	n. middle
右边	you4bian1	n. right side
旁边	pang2bian1	n. beside
前边	qian2bian1	n. front

//HSK 2 Study 4
百	bai3	num. hundred
生日	sheng1ri4	n. birthday
快乐	kuai4le4	adj. happy, glad; n. happiness
给	gei3	v./prep. to, for, give
接	jie1	v. to receive, to take, to accept, catch
晚上	wan3shang5	n. evening, night
问	wen4	v. to ask
非常	fei1chang2	adv. very, extremely
开始	kai1shi3	v. to begin, to start
已经	yi3jing1	adv. already
长	chang2	adj. long
两	liang3	num. two
帮	bang1	v. to help, to assist
介绍	jie4shao4	v. to introduce, to recommend

//HSK 2 Study 5
外面	wai4mian4	n. outside
准备	zhun3bei4	v. to intend, to prepare
就	jiu4	adv. used to indicate a conclusion or resolution (just, exactly, then, only, right away—depends on context)
鱼	yu2	n. fish
吧	ba5	part. used at the end of a sentence to indicate consultation, suggestion, request, or command
件	jian4	m. piece (used for clothes among other items)
还	hai2	adv. passably, fairly, rather
可以	ke3yi3	adj. not bad
不错	bu2cuo4	adj. not bad, pretty good
考试	kao3shi4	n. test, exam
意思	yi4si5	n. meaning, idea, interest
咖啡	ka1fei1	n. coffee
对	dui4	prep. to, for (used before a noun or pronoun, e.g., "Shì a, kāfēi hē duō le duì shēntǐ bù hǎo.")
以后	yi3hou4	adv. after, afterwards, later
有点儿	you3dian3r5	adv. a little, slightly
就是	jiu4shi4	adv. just, exactly (used for emphasis)
球	qiu2	n. ball, sphere
打	da3	v. to hit, to play (sports), to make (a call)

//HSK 2 Study 6
门	men2	n. door, gate
外	wai4	n. outer, outside
自行车	zi4xing2che1	n. bike
羊肉	yang2rou4	n. mutton
好吃	hao3chir1	adj. delicious, yummy
面条	mian4tiao2	n. noodles
打篮球	da3 lan2qiu2	phr. to play basketball
因为	yin1wei4	conj. because, since
所以	suo3yi3	conj.	so, therefore
游泳	you2 yong3	v. to swim
经常	jing1chang2	adv. often, frequently
公斤	gong1jin1	m. kilogram
姐姐	jie3jie5	n. elder sister

//HSK 2 Study 7
教室	jiao4shi4	n. classroom
机场	ji1chang3	n. airport
路	lu4	n. road, path, way
离	li2	v. to be away from
公司	gong1si1	n. company, firm
远	yuan3	adj. far, distant
公共汽车	gong1gong4 qi4che1	n. bus
小时	xiao3shi2	n. hour
慢	man4	adj. slow
快	kuai4	adj. quick, fast
过	guo4	v. to pass (time), to spend (time)
走	zou3	v. to walk
到	dao4	v. to arrive, to reach

//HSK 2 Study 8
再  zai4    adv. again, once more
让  rang4  v. to let, to allow
告诉  gao4su4  v. to tell
等  deng3  v. to wait, to await
找  zhao3  v. to look for
事情  shi4qing  n. thing, matter, affair
服务员  fu2wu4yuan2  n. attendant, waiter/waitress
白  bai2  adj. wahite
黑  hei1  adj. black
贵  gui4  adj. expensive

//Personal Study Words
真	zhen1	adv. very, more than 很
真的吗	zhen1de5ma5	phr. Really?
买一送一	mai3yi1song4yi1	phr. buy one get one free
这送的	zhe4song4de5	phr. this is given (freebie)
对	dui4	adj. correct
新年快乐	xin1nian2kuai4le4	phr. Happy New Year
